Location,2018,2019,2020,2021,2022
Australia,5191,5127,5692,6226,6596
Austria,5519,5625,5864,6690,7275
Belgium,5351,5424,5509,6022,6600
Canada,5337,5223,5879,6278,6319
Chile,2281,2297,2417,2665,2699
Colombia,1192,1240,1293,1532,1640
Costa Rica,1530,1556,1618,1671,1658
Czech Republic,3129,3272,3804,4303,4499
Denmark,5307,5360,5697,6372,6280
Estonia,2364,2453,2731,3083,3091
Finland,4330,4384,4615,5252,5676
France,5097,5163,5453,6106,6517
Germany,6290,6418,6946,7518,8011
Greece,2315,2350,2486,2736,3015
Hungary,2107,2095,2422,2749,2840
Iceland,4236,4318,4632,5107,5314
Ireland,4877,4976,5378,5861,6047
Israel,2749,2710,2875,3258,3444
Italy,3496,3565,3753,4043,4291
Japan,4554,4611,4620,4899,5251
Latvia,1861,2026,2228,3122,3445
Lithuania,2397,2682,2878,3336,3587
Luxembourg,5292,5380,5628,6274,6436
Mexico,1122,1117,1227,1262,1181
Netherlands,5482,5644,6198,6785,7358
New Zealand,3913,4250,4469,4921,6061
Norway,6495,6476,6582,7043,7898
Poland,2107,2232,2286,2522,2973
Portugal,3134,3224,3355,3830,4162
Slovakia,2009,2115,2126,2522,2691
Slovenia,3045,3222,3474,3885,4114
South Korea,3067,3291,3590,4189,4570
Spain,3427,3528,3716,4087,4462
Sweden,5419,5388,5734,6228,6438
Switzerland,6602,6708,7022,7582,8049
Turkey,1205,1232,1305,1560,1827
United Kingdom,4188,4389,4998,5467,5493
United States,10447,10853,11916,12197,12555
